0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:28:15 +0800] "POST /CRM/saleChance/list.do HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:28:41 +0800] "GET /CRM/page/cusdevplanManage.jsp HTTP/1.1" 200 4507
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:28:41 +0800] "POST /CRM/saleChance/list.do?state=1 HTTP/1.1" 200 2835
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:28:47 +0800] "POST /CRM/saleChance/list.do?state=1 HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:28:56 +0800] "GET /CRM/page/cusdevplanitemManage.jsp?saleChanceId=41 HTTP/1.1" 200 6006
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:28:56 +0800] "POST /CRM/saleChance/findById.do HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:28:56 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/kfcg.png HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:28:56 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/zzkf.png HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:28:56 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/icons/filesave.png HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:28:56 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/icons/undo.png HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:28:56 +0800] "POST /CRM/cusDevPlan/list.do?saleChanceId=41 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:29:09 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/default/images/datebox_arrow.png HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:29:10 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/default/images/calendar_arrows.png HTTP/1.1" 200 173
