0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:57 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/sjzdgl.png HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:57 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/khlsgl.png HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:57 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/fwcj.png HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:57 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/fwcl.png HTTP/1.1" 200 1535
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:57 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/exit.png HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:57 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/modifyPassword.png HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:57 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/fwfp.png HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:57 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/khfwfx.png HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:57 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/user.png HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:59 +0800] "GET /CRM/page/saleChanceManage.jsp HTTP/1.1" 200 10268
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:59 +0800] "POST /CRM/user/customerManagerComboList.do HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:54:00 +0800] "POST /CRM/user/customerManagerComboList.do HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:54:00 +0800] "POST /CRM/saleChance/list.do HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:54:02 +0800] "GET /CRM/page/customerManage.jsp HTTP/1.1" 200 14523
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:54:02 +0800] "POST /CRM/user/customerManagerComboList.do HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:54:02 +0800] "POST /CRM/dataDic/dataDicComboList.do HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:54:02 +0800] "POST /CRM/customer/list.do HTTP/1.1" 200 3065
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:54:53 +0800] "GET /CRM/page/customerServiceCreate.jsp HTTP/1.1" 200 3680
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:54:53 +0800] "GET /CRM/jquery-easyui-1.3.3/jquery.edatagrid.js HTTP/1.1" 200 8929
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:54:53 +0800] "POST /CRM/dataDic/dataDicComboList.do?dataDicName=%E6%9C%8D%E5%8A%A1%E7%B1%BB%E5%9E%8B HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:54:54 +0800] "GET /CRM/page/customerServiceAssign.jsp HTTP/1.1" 200 6075
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:54:54 +0800] "POST /CRM/user/customerManagerCombolist.do HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:54:54 +0800] "POST /CRM/customerService/list.do?state=%E6%96%B0%E5%88%9B%E5%BB%BA HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:54:57 +0800] "GET /CRM/page/customerServiceProce.jsp HTTP/1.1" 200 6611
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:54:58 +0800] "POST /CRM/customerService/list.do?state=%E5%B7%B2%E5%88%86%E9%85%8D HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:55:08 +0800] "GET /CRM/page/customerLossManage.jsp HTTP/1.1" 200 3139
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:55:08 +0800] "POST /CRM/customerLoss/list.do HTTP/1.1" 200 834
